lon,lat,elevation
7.64297,45.97991,3046
7.64339,45.97991,3062
7.64382,45.97991,3080
7.64425,45.97991,3100
7.64468,45.97991,3134
7.64511,45.97991,3176
7.64554,45.97991,3219
7.64597,45.97991,3274
7.64640,45.97991,3316
7.62451,45.97961,2854
7.62494,45.97961,2856
7.62537,45.97961,2856
7.62580,45.97961,2857
7.62623,45.97961,2859
7.62666,45.97961,2863
7.62709,45.97961,2868
7.62752,45.97961,2875
7.62794,45.97961,2881
7.62837,45.97961,2888
7.62880,45.97961,2896
7.62923,45.97961,2903
7.62966,45.97961,2909
7.63009,45.97961,2914
7.63052,45.97961,2919
7.63095,45.97961,2925
7.63138,45.97961,2930
7.63181,45.97961,2936
7.63224,45.97961,2942
7.63267,45.97961,2946
7.63309,45.97961,2949
7.63352,45.97961,2952
7.63395,45.97961,2956
7.63438,45.97961,2960
7.63481,45.97961,2964
7.63524,45.97961,2969
7.63567,45.97961,2974
7.63610,45.97961,2974
7.63653,45.97961,2974
7.63696,45.97961,2976
7.63739,45.97961,2977
7.63782,45.97961,2978
7.63824,45.97961,2979
7.63867,45.97961,2980
7.63910,45.97961,2981
7.63953,45.97961,2982
7.63996,45.97961,2984
7.64039,45.97961,2986
7.64082,45.97961,2988
7.64125,45.97961,2995
7.64168,45.97961,3005
7.64211,45.97961,3016
7.64254,45.97961,3028
7.64297,45.97961,3041
7.64339,45.97961,3057
7.64382,45.97961,3075
7.64425,45.97961,3096
7.64468,45.97961,3126
7.64511,45.97961,3169
7.64554,45.97961,3215
7.64597,45.97961,3253
7.64640,45.97961,3306
7.62451,45.97931,2862
7.62494,45.97931,2864
7.62537,45.97931,2864
7.62580,45.97931,2864
7.62623,45.97931,2866
7.62666,45.97931,2869
7.62709,45.97931,2873
7.62752,45.97931,2879
7.62794,45.97931,2885
7.62837,45.97931,2891
7.62880,45.97931,2899
7.62923,45.97931,2906
7.62966,45.97931,2913
7.63009,45.97931,2919
7.63052,45.97931,2925
7.63095,45.97931,2930
7.63138,45.97931,2936
7.63181,45.97931,2941
7.63224,45.97931,2946
7.63267,45.97931,2950
7.63309,45.97931,2952
7.63352,45.97931,2954
7.63395,45.97931,2957
7.63438,45.97931,2962
7.63481,45.97931,2966
7.63524,45.97931,2971
7.63567,45.97931,2975
7.63610,45.97931,2976
7.63653,45.97931,2974
7.63696,45.97931,2975
7.63739,45.97931,2976
7.63782,45.97931,2977
7.63824,45.97931,2978
7.63867,45.97931,2980
7.63910,45.97931,2981
7.63953,45.97931,2982
7.63996,45.97931,2982
7.64039,45.97931,2984
7.64082,45.97931,2988
7.64125,45.97931,2993
7.64168,45.97931,3003
7.64211,45.97931,3014
7.64254,45.97931,3027
7.64297,45.97931,3041
7.64339,45.97931,3055
7.64382,45.97931,3073
7.64425,45.97931,3095
7.64468,45.97931,3122
7.64511,45.97931,3163
7.64554,45.97931,3206
7.64597,45.97931,3263
7.64640,45.97931,3299
7.62451,45.97901,2869
7.62494,45.97901,2871
7.62537,45.97901,2871
7.62580,45.97901,2872
7.62623,45.97901,2873
7.62666,45.97901,2875
7.62709,45.97901,2878
7.62752,45.97901,2883
7.62794,45.97901,2889
7.62837,45.97901,2895
7.62880,45.97901,2903
7.62923,45.97901,2910
7.62966,45.97901,2917
7.63009,45.97901,2925
7.63052,45.97901,2931
7.63095,45.97901,2937
7.63138,45.97901,2943
7.63181,45.97901,2947
7.63224,45.97901,2951
7.63267,45.97901,2954
7.63309,45.97901,2955
7.63352,45.97901,2957
7.63395,45.97901,2960
7.63438,45.97901,2964
7.63481,45.97901,2968
7.63524,45.97901,2973
7.63567,45.97901,2976
7.63610,45.97901,2976
7.63653,45.97901,2974
7.63696,45.97901,2975
7.63739,45.97901,2976
7.63782,45.97901,2977
7.63824,45.97901,2978
7.63867,45.97901,2980
7.63910,45.97901,2981
7.63953,45.97901,2983
7.63996,45.97901,2983
7.64039,45.97901,2984
7.64082,45.97901,2987
7.64125,45.97901,2992
7.64168,45.97901,3002
7.64211,45.97901,3014
7.64254,45.97901,3027
7.64297,45.97901,3041
7.64339,45.97901,3055
7.64382,45.97901,3073
7.64425,45.97901,3097
7.64468,45.97901,3125
7.64511,45.97901,3157
7.64554,45.97901,3202
7.64597,45.97901,3256
7.64640,45.97901,3291
7.62451,45.97871,2875
7.62494,45.97871,2877
7.62537,45.97871,2878
7.62580,45.97871,2878
7.62623,45.97871,2879
7.62666,45.97871,2881
7.62709,45.97871,2884
7.62752,45.97871,2888
7.62794,45.97871,2894
7.62837,45.97871,2901
7.62880,45.97871,2908
7.62923,45.97871,2916
7.62966,45.97871,2924
7.63009,45.97871,2932
7.63052,45.97871,2940
7.63095,45.97871,2947
7.63138,45.97871,2952
7.63181,45.97871,2956
7.63224,45.97871,2959
7.63267,45.97871,2960
7.63309,45.97871,2961
7.63352,45.97871,2962
7.63395,45.97871,2964
7.63438,45.97871,2967
7.63481,45.97871,2970
