h3,storms,max_wind,basin
834a73fffffffff,33,125,WP
834b86fffffffff,33,130,WP
834e41fffffffff,33,165,WP
834a68fffffffff,33,115,WP
834f66fffffffff,33,119,WP
834f62fffffffff,33,148,WP
838669fffffffff,33,110,SI
834e40fffffffff,33,135,WP
8384ddfffffffff,33,115,SI
8384dcfffffffff,33,115,SI
838773fffffffff,33,140,SI
834b03fffffffff,33,120,WP
832f62fffffffff,33,93,WP
834b1efffffffff,33,135,WP
8349acfffffffff,33,110,EP
83510afffffffff,33,128,EP
832f08fffffffff,33,84,WP
83ab63fffffffff,33,120,SI
834a6afffffffff,33,125,WP
832f40fffffffff,33,105,WP
834103fffffffff,33,115,WP
832f63fffffffff,33,90,WP
835119fffffffff,33,118,EP
834b50fffffffff,33,115,WP
833c8dfffffffff,33,55,NI
832e64fffffffff,33,79,WP
834b55fffffffff,33,110,WP
834a4afffffffff,33,120,WP
83ab6afffffffff,33,125,SI
834953fffffffff,33,100,EP
8394b6fffffffff,32,120,SI
8384d8fffffffff,32,105,SI
83a260fffffffff,32,125,SI
838495fffffffff,32,98,SI
836956fffffffff,32,118,WP
834a0cfffffffff,32,140,WP
8350b6fffffffff,32,80,EP
836ec0fffffffff,32,140,EP
834ecefffffffff,32,115,WP
834ba4fffffffff,32,95,WP
834e61fffffffff,32,145,WP
834a2afffffffff,32,140,WP
834a42fffffffff,32,130,WP
834b59fffffffff,32,100,WP
837702fffffffff,32,60,WP
837720fffffffff,32,100,WP
838741fffffffff,32,128,SI
838749fffffffff,32,125,SI
834b28fffffffff,32,113,WP
836d82fffffffff,32,95,EP
832f55fffffffff,32,99,WP
834ec9fffffffff,32,120,WP
834e48fffffffff,32,149,WP
834941fffffffff,32,118,EP
834b58fffffffff,32,118,WP
837313fffffffff,32,43,WP
836875fffffffff,32,100,WP
836953fffffffff,32,85,WP
836824fffffffff,32,108,WP
83ab6efffffffff,32,120,SI
836919fffffffff,32,115,WP
834f51fffffffff,32,153,WP
83ab2efffffffff,32,140,SI
835181fffffffff,32,120,EP
836e5bfffffffff,32,125,EP
836ec6fffffffff,32,120,EP
836d1afffffffff,32,65,EP
834e75fffffffff,32,140,WP
834f73fffffffff,32,150,WP
834b13fffffffff,32,140,WP
834aedfffffffff,32,125,WP
83ab24fffffffff,32,138,SI
832f01fffffffff,32,95,WP
832f60fffffffff,32,100,WP
837312fffffffff,32,125,WP
8384d4fffffffff,31,53,SI
83a26efffffffff,31,120,SI
83a348fffffffff,31,125,SI
83a696fffffffff,31,130,SI
838494fffffffff,31,103,SI
837263fffffffff,31,120,WP
835026fffffffff,31,115,EP
83722efffffffff,31,60,WP
837220fffffffff,31,143,WP
836909fffffffff,31,115,WP
83511cfffffffff,31,130,EP
83415cfffffffff,31,95,WP
834f65fffffffff,31,125,WP
834111fffffffff,31,95,WP
836e8bfffffffff,31,135,EP
83495cfffffffff,31,110,EP
834ba0fffffffff,31,103,WP
834e65fffffffff,31,150,WP
83416afffffffff,31,80,WP
83518dfffffffff,31,125,EP
832f6cfffffffff,31,100,WP
834f6afffffffff,31,125,WP
83772cfffffffff,31,130,WP
83849dfffffffff,31,88,SI
83ab2bfffffffff,31,125,SI
83ab2afffffffff,31,138,SI
834e71fffffffff,31,125,WP
